time: 0.14200139045715332, average: 1.4200139045715332e-05
p0 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p7764 = Tree[a, {Tree[a, {a,a,a}],a}]
p7765 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p7766 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p7767 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p7768 = Tree[a, {a,Tree[a, {a}],a,a}]
p7769 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p7770 = Tree[a, {a,a,a,Tree[a, {a}]}]
p7771 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p7772 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p7773 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p7774 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p7775 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p7776 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p7777 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p7778 = Tree[a, {Tree[a, {a,a}],a,a}]
p7779 = Tree[a, {a,Tree[a, {a,a,a}]}]
p7780 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p7781 = Tree[a, {a,a,Tree[a, {a}],a}]
p7782 = Tree[a, {a,Tree[a, {a,a,a}]}]
p7783 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p7784 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p7785 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p7786 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p7787 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p7788 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p7789 = Tree[a, {a,a,Tree[a, {a}],a}]
p7790 = Tree[a, {a,Tree[a, {a}],a,a}]
p7791 = Tree[a, {a,a,a,a,a}]
p7792 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p7793 = Tree[a, {Tree[a, {a}],a,a,a}]
p7794 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p7795 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p7796 = Tree[a, {Tree[a, {a}],a,a,a}]
p7797 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p7798 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p7799 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p7800 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p7801 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p7802 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p7803 = Tree[a, {a,Tree[a, {a}],a,a}]
p7804 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p7805 = Tree[a, {Tree[a, {a}],a,a,a}]
p7806 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p7807 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p7808 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p7809 = Tree[a, {Tree[a, {a,a,a}],a}]
p7810 = Tree[a, {a,Tree[a, {a,a}],a}]
p7811 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p7812 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p7813 = Tree[a, {a,a,Tree[a, {a,a}]}]
p7814 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p7815 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p7816 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p7817 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p7818 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p7819 = Tree[a, {Tree[a, {a,a,a,a}]}]
p7820 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p7821 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p7822 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p7823 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p7824 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p7825 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p7826 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p7827 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p7828 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p7829 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p7830 = Tree[a, {a,a,Tree[a, {a,a}]}]
p7831 = Tree[a, {Tree[a, {a,a,a}],a}]
p7832 = Tree[a, {a,Tree[a, {a}],a,a}]
p7833 = Tree[a, {a,Tree[a, {a,a}],a}]
p7834 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p7835 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p7836 = Tree[a, {Tree[a, {a}],a,a,a}]
p7837 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p7838 = Tree[a, {a,Tree[a, {a,a,a}]}]
p7839 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p7840 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p7841 = Tree[a, {Tree[a, {a}],a,a,a}]
p7842 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p7843 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p7844 = Tree[a, {a,Tree[a, {a,a}],a}]
p7845 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p7846 = Tree[a, {a,a,Tree[a, {a}],a}]
p7847 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p7848 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p7849 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p7850 = Tree[a, {Tree[a, {a,a,a,a}]}]
p7851 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p7852 = Tree[a, {a,a,a,Tree[a, {a}]}]
p7853 = Tree[a, {a,a,a,Tree[a, {a}]}]
p7854 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p7855 = Tree[a, {a,Tree[a, {a,a}],a}]
p7856 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p7857 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p7858 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p7859 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p7860 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p7861 = Tree[a, {Tree[a, {a,a,a}],a}]
p7862 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p7863 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p7864 = Tree[a, {a,Tree[a, {a}],a,a}]
p7865 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p7866 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p7867 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p7868 = Tree[a, {Tree[a, {a}],a,a,a}]
p7869 = Tree[a, {a,a,Tree[a, {a}],a}]
p7870 = Tree[a, {a,a,a,Tree[a, {a}]}]
p7871 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p7872 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p7873 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p7874 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p7875 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p7876 = Tree[a, {a,a,a,a,a}]
p7877 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p7878 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p7879 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p7880 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p7881 = Tree[a, {Tree[a, {a,a,a,a}]}]
p7882 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p7883 = Tree[a, {a,a,a,Tree[a, {a}]}]
p7884 = Tree[a, {a,a,Tree[a, {a}],a}]
p7885 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p7886 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p7887 = Tree[a, {Tree[a, {a,a}],a,a}]
p7888 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p7889 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p7890 = Tree[a, {a,Tree[a, {a,a,a}]}]
p7891 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p7892 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p7893 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p7894 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p7895 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p7896 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p7897 = Tree[a, {a,Tree[a, {a,a,a}]}]
p7898 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p7899 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p7900 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p7901 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p7902 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p7903 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p7904 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p7905 = Tree[a, {a,Tree[a, {a,a,a}]}]
p7906 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p7907 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p7908 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p7909 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p7910 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p7911 = Tree[a, {Tree[a, {a,a,a}],a}]
p7912 = Tree[a, {a,a,Tree[a, {a}],a}]
p7913 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p7914 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p7915 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p7916 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p7917 = Tree[a, {a,Tree[a, {a}],a,a}]
p7918 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p7919 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p7920 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p7921 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p7922 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p7923 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p7924 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p7925 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p7926 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p7927 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p7928 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p7929 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p7930 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p7931 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p7932 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p7933 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p7934 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p7935 = Tree[a, {a,a,a,a,a}]
p7936 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p7937 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p7938 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p7939 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p7940 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p7941 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p7942 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p7943 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p7944 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p7945 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p7946 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p7947 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p7948 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p7949 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p7950 = Tree[a, {Tree[a, {a,a}],a,a}]
p7951 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p7952 = Tree[a, {a,Tree[a, {a,a,a}]}]
p7953 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p7954 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p7955 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p7956 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p7957 = Tree[a, {a,a,a,Tree[a, {a}]}]
p7958 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p7959 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p7960 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p7961 = Tree[a, {a,Tree[a, {a,a,a}]}]
p7962 = Tree[a, {a,a,a,Tree[a, {a}]}]
p7963 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p7964 = Tree[a, {a,a,Tree[a, {a}],a}]
p7965 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p7966 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p7967 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p7968 = Tree[a, {a,a,a,Tree[a, {a}]}]
p7969 = Tree[a, {a,Tree[a, {a}],a,a}]
p7970 = Tree[a, {a,a,Tree[a, {a}],a}]
p7971 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p7972 = Tree[a, {a,Tree[a, {a,a,a}]}]
p7973 = Tree[a, {Tree[a, {a,a}],a,a}]
p7974 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p7975 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p7976 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p7977 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p7978 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p7979 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p7980 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p7981 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p7982 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p7983 = Tree[a, {a,a,a,Tree[a, {a}]}]
p7984 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p7985 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p7986 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p7987 = Tree[a, {a,a,Tree[a, {a,a}]}]
p7988 = Tree[a, {a,Tree[a, {a}],a,a}]
p7989 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p7990 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p7991 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p7992 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p7993 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p7994 = Tree[a, {a,Tree[a, {a,a}],a}]
p7995 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p7996 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p7997 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p7998 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p7999 = Tree[a, {a,Tree[a, {a}],a,a}]
p8000 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p8001 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p8002 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p8003 = Tree[a, {a,Tree[a, {a,a}],a}]
p8004 = Tree[a, {a,a,a,a,a}]
p8005 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p8006 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p8007 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p8008 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p8009 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p8010 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p8011 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p8012 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p8013 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p8014 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p8015 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p8016 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p8017 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p8018 = Tree[a, {Tree[a, {a,a,a,a}]}]
p8019 = Tree[a, {a,a,Tree[a, {a,a}]}]
p8020 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p8021 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p8022 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p8023 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p8024 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p8025 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p8026 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p8027 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p8028 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p8029 = Tree[a, {Tree[a, {a}],a,a,a}]
p8030 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p8031 = Tree[a, {a,a,a,Tree[a, {a}]}]
p8032 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p8033 = Tree[a, {a,a,a,Tree[a, {a}]}]
p8034 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p8035 = Tree[a, {Tree[a, {a}],a,a,a}]
p8036 = Tree[a, {a,Tree[a, {a,a}],a}]
p8037 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p8038 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p8039 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p8040 = Tree[a, {Tree[a, {a,a,a,a}]}]
p8041 = Tree[a, {a,Tree[a, {a}],a,a}]
p8042 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p8043 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p8044 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p8045 = Tree[a, {a,Tree[a, {a,a,a}]}]
p8046 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p8047 = Tree[a, {Tree[a, {a,a,a,a}]}]
p8048 = Tree[a, {Tree[a, {a}],a,a,a}]
p8049 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p8050 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p8051 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p8052 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p8053 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p8054 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p8055 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p8056 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p8057 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p8058 = Tree[a, {a,Tree[a, {a,a}],a}]
p8059 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p8060 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p8061 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p8062 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p8063 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p8064 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p8065 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p8066 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p8067 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p8068 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p8069 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p8070 = Tree[a, {a,a,Tree[a, {a}],a}]
p8071 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p8072 = Tree[a, {Tree[a, {a,a,a}],a}]
p8073 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p8074 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p8075 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p8076 = Tree[a, {Tree[a, {a,a,a,a}]}]
p8077 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p8078 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p8079 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p8080 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p8081 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p8082 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p8083 = Tree[a, {Tree[a, {a,a,a}],a}]
p8084 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p8085 = Tree[a, {a,a,a,a,a}]
p8086 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p8087 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p8088 = Tree[a, {a,a,Tree[a, {a}],a}]
p8089 = Tree[a, {Tree[a, {a}],a,a,a}]
p8090 = Tree[a, {Tree[a, {a,a,a,a}]}]
p8091 = Tree[a, {a,a,a,a,a}]
p8092 = Tree[a, {a,Tree[a, {a}],a,a}]
p8093 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p8094 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p8095 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p8096 = Tree[a, {a,a,a,a,a}]
p8097 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p8098 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p8099 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p8100 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p8101 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p8102 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p8103 = Tree[a, {a,a,Tree[a, {a,a}]}]
p8104 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p8105 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p8106 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p8107 = Tree[a, {a,a,Tree[a, {a}],a}]
p8108 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p8109 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p8110 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p8111 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p8112 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p8113 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p8114 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p8115 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p8116 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p8117 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p8118 = Tree[a, {Tree[a, {a,a,a,a}]}]
p8119 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p8120 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p8121 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p8122 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p8123 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p8124 = Tree[a, {a,a,a,a,a}]
p8125 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p8126 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p8127 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p8128 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p8129 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p8130 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p8131 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p8132 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p8133 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p8134 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
